Stock,Bought,No_of_shares,High,Low,CurrentPrice,Gain
TATACOFFEE,2.6,610,16.86,1.19,2.25,-13.46
TATAMOTORS,7.03,610,9.94,3.88,6.29,-10.53
TATASTEEL,7.55,610,12.49,3.02,11.09,46.89
TCS,38.37,610,51.19,30.27,48.97,27.63
TITAN,7.76,610,14.74,4.34,13.68,76.29
